116565388154921489-14,0
1802092803451558961-64,1
182174453776900056-574,2
2833099556829088331-1,3
4206049710565789757-27,4
4298810713419783004-20,5
4428337971967081598-1166,6
4582378279778813615-451,7
4785247989121853774-76,8
5000405599886585411-1,9
5190366093443290638-2,10
5349444999130676620-176,11
5563932036702924327-11,12
6304375546579330056-6,13
6427553301684673419-14,14
6496236163827329019-34,15
649978460556027891-480,16
6915309093684817053-184,17
7115643006904873781-36,18
7163792352142506436-3,19
7195061294605294041-3,20
7350094598772077669-165,21
7363224064701054405-1,22
8324362987240241293-299,23
8621846651492471635-11,24
1054927360474182278-40,25
1213467703006492863-1194,26
1682449299616881246-736,27
2328089274808374229-1608,28
2455513408286308107-1,29
2455513408286308107-2,30
2505683355035232821-667,31
2528631889296460663-59,32
2738146389775659021-9,33
2875416327658444781-812,34
357834806627871803-190,35
3824685141836320268-483,36
4075195027751968989-420,37
4321593534924444872-555,38
4802210631657891991-1618,39
5934590007859909530-9,40
6393070237594297800-317,41
6631149848330356910-1,42
6778756578529853072-1,43
6975019300990939948-387,44
7060075282855432330-1,45
7389118736039855227-1099,46
7500794534348161596-4,47
7637038507655374156-8,48
8244291366452891178-1341,49
8264096199516233562-151,50
8738930092795243221-26,51
8913203072336952547-37,52
8923011643776903707-18,53
9070898702198849808-1,54
943617635134997334-13,55
1343638609774568538-1,56
1398986526172767744-2,57
1412589263106800728-367,58
16688140808479953102-7,59
2167130337445563301-105,60
2402769556302625802-590,61
2483196929149367362-1,62
2542207610901199493-44,63
2562587999509984587-884,64
2947861791647823603-1,65
2991915146606820216-75,66
3023404158940943347-1,67
3383303254200286653-10,68
3480900046623793022-14,69
3982250629905819440-1,70
5100860001560298174-14,71
5161958525389140191-5,72
5302142647455621711-26,73
5648559608447168950-1,74
5953720097097589947-240,75
7246711665003814862-100,76
7419048447435990985-22,77
7808198172804642339-9,78
7853000359498104698-89,79
8023732241745956312-1,80
8362907655943706310-39,81
8956901083227964573-2,82
1046731008114775948-24,83
1303693635783563686-82,84
2459219200552343284-56,85
2505655656818493686-1,86
2536295403748178285-39,87
287664180714896177-1,88
4236447208382230664-493,89
4352325907144429046-4,90
4801505711653456940-1,91
4848548793364019079-229,92
5240108957311574838-1434,93
5282186769110762137-2,94
5484364795427503638-1,95
5712981304676445024-124,96
575566331164025054-5,97
6350493810213846158-5,98
7351922360752999238-1181,99
7712566160408438745-57,100
8832624735575826379-4,101
9214730035878768716-130,102
1683867506438290385-15,103
1773665041956788035-355,104
1814796161365581700-98,105
2239698925229126680-6,106
2426071875607108910-1088,107
2560681845788877892-9,108
2909325970566071025-1151,109
3162206004298231061-247,110
3227649687981339208-358,111
3633268568302765177-902,112
3706037018121357563-251,113
3830648660997260873-4,114
3926780126533264717-193,115
4346116797294381301-520,116
480261788555389064-15,117
5118980490058914184-1,118
5637452865966764714-9,119
5701205389099136182-8,120
5719152713088173785-222,121
5793622025790195016-8,122
6566660931560476700-3,123
6596379592690504538-9,124
6937630287847035265-1,125
7182580415970619531-300,126
7428099846281830046-27,127
7429281860009396271-1,128
7637666560719877063-561,129
7822262764773908940-1,130
7838677098964306118-16,131
8020982740970196785-659,132
8088521660194487279-64,133
8088521660194487279-61,134
821505577403128141-2,135
825162651861340762-1,136
8324441838648168548-83,137
892616719546836572-2,138
950482019360401036-446,139
1189576724114997724-100,140
1189576724114997724-97,141
120732747530930106-388,142
1244584204190510711-88,143
1846517033115420685-187,144
1966862789902442452-15,145
273487009066844775-2,146
3083411315974241025-525,147
3245616717310450011-373,148
3302578351694856665-1898,149
345744512336924979-447,150
3530767103724193132-1,151
3641871551098183935-45,152
3958333262702412653-34,153
4232035246257214552-2,154
4233130230840726647-183,155
4445315174584549867-875,156
5066697075775419647-6,157
5129609636384389884-1448,158
5827035376640221480-644,159
5921816607618577938-1,160
5978430113429565092-53,161
6167107356730832984-4,162
6303191037551604277-166,163
6364014397326432090-1,164
6734207687375948661-98,165
7113528787931689959-433,166
7484926481294333101-730,167
7965945660065457840-293,168
8085139888843382549-15,169
8355381589034552134-77,170
8550554300360877029-176,171
896304872404058930-4,172
9182585182079184807-187,173
2276281622676311652-124,174
2276281622676311652-123,175
250499579594488519-2,176
2602687708216938206-304,177
345628719964112727-66,178
3601082070542788535-4,179
3683683779272907456-297,180
3684710461147859343-47,181
3831957977471709880-218,182
401746221562923110-1,183
4143608260544212800-1,184
486909221100197592-136,185
499053447297714044-2,186
5527079559446206315-1,187
5889037069322481241-2,188
5968341063443936630-94,189
6264858785171221624-1,190
6359087532914320981-690,191
6544503173803209502-29,192
6669381117463560223-1,193
6922531003881284805-356,194
694418238143821747-1,195
7334942778658082425-38,196
7421044744085593288-24,197
7587274143196473960-23,198
786387532461193444-269,199
7994497116611741797-86,200
8018903684879396149-142,201
8288213106608154993-2,202
8647198559245768419-5,203
8815165521769754258-119,204
8820753347217989855-330,205
956920059314361286-1727,206
991534459237217817-189,207
998449274956602554-126,208
1249574088612253603-147,209
1539152066618670101-1,210
1658055783631762607-117,211
1697563298150085911-70,212
1957581790709848787-90,213
2052928308078099231-9,214
2908165702365645872-549,215
2936904934915748234-1201,216
3444818391434950597-67,217
4162780779768350969-275,218
4360712002472015795-771,219
4462629772498808060-73,220
4531105183537727958-228,221
4647545831469992329-1,222
5191763469657982882-924,223
5227223767649147356-196,224
5380928900283929874-909,225
579258048682131653-1808,226
5850702622138562770-763,227
6249577721028747375-1,228
6356635012105867291-12,229
6542867190698031165-1,230
6554367446667501541-48,231
6827582282146863049-2,232
719585861707023320-110,233
7319679628964874363-3,234
765429204443488223-549,235
7946515812163807336-68,236
8023722019723722981-1,237
8114167932111028917-12,238
8496782297656970706-12,239
8625224050504872380-489,240
9169240508208876103-396,241
101119332844428436-1,242
1048307823741315936-54,243
143532426929255981-148,244
2127723179284471729-170,245
2385992284471631768-2,246
2744756172521910949-164,247
